Bandit,Reward,Algorithm
1,1,Epsilon Greedy
2,1,Epsilon Greedy
3,1,Epsilon Greedy
4,4,Epsilon Greedy
5,4,Epsilon Greedy
6,4,Epsilon Greedy
7,4,Epsilon Greedy
8,4,Epsilon Greedy
9,4,Epsilon Greedy
10,4,Epsilon Greedy
11,4,Epsilon Greedy
12,4,Epsilon Greedy
13,4,Epsilon Greedy
14,4,Epsilon Greedy
15,4,Epsilon Greedy
16,4,Epsilon Greedy
17,4,Epsilon Greedy
18,4,Epsilon Greedy
19,4,Epsilon Greedy
20,4,Epsilon Greedy
21,4,Epsilon Greedy
22,4,Epsilon Greedy
23,4,Epsilon Greedy
24,4,Epsilon Greedy
25,4,Epsilon Greedy
26,4,Epsilon Greedy
27,4,Epsilon Greedy
28,4,Epsilon Greedy
29,4,Epsilon Greedy
30,3,Epsilon Greedy
31,4,Epsilon Greedy
32,4,Epsilon Greedy
33,4,Epsilon Greedy
34,4,Epsilon Greedy
35,4,Epsilon Greedy
36,4,Epsilon Greedy
37,4,Epsilon Greedy
38,3,Epsilon Greedy
39,4,Epsilon Greedy
40,4,Epsilon Greedy
41,4,Epsilon Greedy
42,4,Epsilon Greedy
43,4,Epsilon Greedy
44,4,Epsilon Greedy
45,4,Epsilon Greedy
46,4,Epsilon Greedy
47,4,Epsilon Greedy
48,4,Epsilon Greedy
49,4,Epsilon Greedy
50,4,Epsilon Greedy
51,4,Epsilon Greedy
52,4,Epsilon Greedy
53,4,Epsilon Greedy
54,4,Epsilon Greedy
55,4,Epsilon Greedy
56,4,Epsilon Greedy
57,4,Epsilon Greedy
58,3,Epsilon Greedy
59,4,Epsilon Greedy
60,4,Epsilon Greedy
61,4,Epsilon Greedy
62,4,Epsilon Greedy
63,4,Epsilon Greedy
64,4,Epsilon Greedy
65,4,Epsilon Greedy
66,4,Epsilon Greedy
67,4,Epsilon Greedy
68,4,Epsilon Greedy
69,4,Epsilon Greedy
70,4,Epsilon Greedy
71,4,Epsilon Greedy
72,4,Epsilon Greedy
73,4,Epsilon Greedy
74,4,Epsilon Greedy
75,4,Epsilon Greedy
76,4,Epsilon Greedy
77,4,Epsilon Greedy
78,4,Epsilon Greedy
79,4,Epsilon Greedy
80,4,Epsilon Greedy
81,4,Epsilon Greedy
82,4,Epsilon Greedy
83,4,Epsilon Greedy
